unique_id,ds,y
M546,1990-03-31,940.0
M546,1990-04-30,940.0
M546,1990-05-31,940.0
M546,1990-06-30,10822.125
M546,1990-07-31,10822.125
M546,1990-08-31,940.0
M546,1990-09-30,940.0
M546,1990-10-31,940.0
M546,1990-11-30,10822.125
M546,1990-12-31,10822.125
M546,1991-01-31,940.0
M546,1991-02-28,940.0
M546,1991-03-31,940.0
M546,1991-04-30,10822.125
M546,1991-05-31,10822.125
M546,1991-06-30,10822.125
M546,1991-07-31,940.0
M546,1991-08-31,940.0
M546,1991-09-30,10822.125
M546,1991-10-31,10822.125
M546,1991-11-30,940.0
M546,1991-12-31,940.0
M546,1992-01-31,940.0
M546,1992-02-29,10822.125
M546,1992-03-31,10822.125
M546,1992-04-30,10822.125
M546,1992-05-31,10822.125
M546,1992-06-30,10822.125
M546,1992-07-31,10822.125
M546,1992-08-31,10822.125
M546,1992-09-30,10822.125
M546,1992-10-31,10822.125
M546,1992-11-30,940.0
M546,1992-12-31,940.0
M547,1982-01-31,10822.125
M547,1982-02-28,10822.125
M547,1982-03-31,10822.125
M547,1982-04-30,940.0
M547,1982-05-31,940.0
M547,1982-06-30,940.0
M547,1982-07-31,940.0
M547,1982-08-31,940.0
M547,1982-09-30,940.0
M547,1982-10-31,10822.125
M547,1982-11-30,10822.125
M547,1982-12-31,940.0
M547,1983-01-31,940.0
M547,1983-02-28,940.0
M547,1983-03-31,10822.125
M547,1983-04-30,10822.125
M547,1983-05-31,10822.125
M547,1983-06-30,10822.125
M547,1983-07-31,940.0
M547,1983-08-31,10822.125
M547,1983-09-30,10822.125
M547,1983-10-31,10822.125
M547,1983-11-30,940.0
M547,1983-12-31,940.0
M547,1984-01-31,940.0
M547,1984-02-29,940.0
M547,1984-03-31,940.0
M547,1984-04-30,940.0
M547,1984-05-31,940.0
M547,1984-06-30,940.0
M547,1984-07-31,10822.125
M547,1984-08-31,10822.125
M547,1984-09-30,940.0
M547,1984-10-31,940.0
M547,1984-11-30,940.0
M547,1984-12-31,940.0
M547,1985-01-31,10822.125
M547,1985-02-28,10822.125
M547,1985-03-31,940.0
M547,1985-04-30,940.0
M547,1985-05-31,940.0
M547,1985-06-30,940.0
M547,1985-07-31,940.0
M547,1985-08-31,940.0
M547,1985-09-30,10822.125
M547,1985-10-31,10822.125
M547,1985-11-30,10822.125
M547,1985-12-31,10822.125
M547,1986-01-31,10822.125
M547,1986-02-28,10822.125
M547,1986-03-31,10822.125
M547,1986-04-30,10822.125
M547,1986-05-31,940.0
M547,1986-06-30,940.0
M547,1986-07-31,940.0
M547,1986-08-31,940.0
M547,1986-09-30,10822.125
M547,1986-10-31,10822.125
M547,1986-11-30,10822.125
M547,1986-12-31,10822.125
M547,1987-01-31,10822.125
M547,1987-02-28,10822.125
M547,1987-03-31,10822.125
M547,1987-04-30,10822.125
M547,1987-05-31,10822.125
M547,1987-06-30,10822.125
M547,1987-07-31,10822.125
M547,1987-08-31,10822.125
M547,1987-09-30,10822.125
M547,1987-10-31,940.0
M547,1987-11-30,940.0
M547,1987-12-31,940.0
M547,1988-01-31,940.0
M547,1988-02-29,10822.125
M547,1988-03-31,10822.125
M547,1988-04-30,940.0
M547,1988-05-31,940.0
M547,1988-06-30,940.0
M547,1988-07-31,10822.125
M547,1988-08-31,10822.125
M547,1988-09-30,940.0
M547,1988-10-31,940.0
M547,1988-11-30,10822.125
M547,1988-12-31,10822.125
M547,1989-01-31,940.0
M547,1989-02-28,940.0
M547,1989-03-31,940.0
M547,1989-04-30,10822.125
M547,1989-05-31,10822.125
M547,1989-06-30,10822.125
M547,1989-07-31,940.0
M547,1989-08-31,940.0
M547,1989-09-30,10822.125
M547,1989-10-31,10822.125
M547,1989-11-30,10822.125
M547,1989-12-31,940.0
M547,1990-01-31,940.0
M547,1990-02-28,940.0
M547,1990-03-31,10822.125
M547,1990-04-30,10822.125
M547,1990-05-31,10822.125
M547,1990-06-30,10822.125
M547,1990-07-31,10822.125
M547,1990-08-31,10822.125
M547,1990-09-30,940.0
M547,1990-10-31,940.0
M547,1990-11-30,940.0
M547,1990-12-31,940.0
M547,1991-01-31,10822.125
M547,1991-02-28,10822.125
M547,1991-03-31,10822.125
M547,1991-04-30,940.0
M547,1991-05-31,940.0
M547,1991-06-30,10822.125
M547,1991-07-31,10822.125
M547,1991-08-31,10822.125
M547,1991-09-30,10822.125
M547,1991-10-31,10822.125
M547,1991-11-30,10822.125
M547,1991-12-31,940.0
M547,1992-01-31,940.0
M547,1992-02-29,940.0
M547,1992-03-31,940.0
M547,1992-04-30,10822.125
M547,1992-05-31,10822.125
M547,1992-06-30,940.0
M547,1992-07-31,940.0
M547,1992-08-31,940.0
M547,1992-09-30,940.0
M547,1992-10-31,940.0
M547,1992-11-30,940.0
M547,1992-12-31,10822.125
M548,1978-01-31,10822.125
M548,1978-02-28,10822.125
M548,1978-03-31,940.0
M548,1978-04-30,940.0
M548,1978-05-31,940.0
M548,1978-06-30,940.0
M548,1978-07-31,940.0
M548,1978-08-31,940.0
M548,1978-09-30,940.0
M548,1978-10-31,10822.125
M548,1978-11-30,10822.125
M548,1978-12-31,10822.125
M548,1979-01-31,940.0
M548,1979-02-28,940.0
M548,1979-03-31,940.0
M548,1979-04-30,940.0
M548,1979-05-31,940.0
M548,1979-06-30,940.0
M548,1979-07-31,940.0
M548,1979-08-31,940.0
M548,1979-09-30,940.0
M548,1979-10-31,940.0
M548,1979-11-30,940.0
M548,1979-12-31,940.0
M548,1980-01-31,940.0
M548,1980-02-29,940.0
M548,1980-03-31,940.0
M548,1980-04-30,10822.125
M548,1980-05-31,10822.125
M548,1980-06-30,10822.125
M548,1980-07-31,940.0
M548,1980-08-31,940.0
M548,1980-09-30,940.0
M548,1980-10-31,10822.125
M548,1980-11-30,10822.125
M548,1980-12-31,10822.125
M548,1981-01-31,10822.125
M548,1981-02-28,10822.125
M548,1981-03-31,10822.125
M548,1981-04-30,10822.125
M548,1981-05-31,940.0
M548,1981-06-30,940.0
M548,1981-07-31,940.0
M548,1981-08-31,940.0
M548,1981-09-30,940.0
M548,1981-10-31,940.0
M548,1981-11-30,940.0
M548,1981-12-31,10822.125
M548,1982-01-31,940.0
M548,1982-02-28,940.0
M548,1982-03-31,940.0
M548,1982-04-30,940.0
M548,1982-05-31,10822.125
M548,1982-06-30,10822.125
M548,1982-07-31,940.0
M548,1982-08-31,940.0
M548,1982-09-30,940.0
M548,1982-10-31,10822.125
M548,1982-11-30,1429.8813223186085
M548,1982-12-31,940.0
M548,1983-01-31,940.0
M548,1983-02-28,940.0
M548,1983-03-31,940.0
M548,1983-04-30,940.0
M548,1983-05-31,940.0
M548,1983-06-30,10822.125
M548,1983-07-31,10822.125
M548,1983-08-31,10822.125
M548,1983-09-30,10822.125
M548,1983-10-31,10822.125
M548,1983-11-30,10822.125
M548,1983-12-31,10822.125
M548,1984-01-31,10822.125
M548,1984-02-29,10822.125
M548,1984-03-31,10822.125
M548,1984-04-30,10822.125
M548,1984-05-31,10822.125
M548,1984-06-30,10822.125
M548,1984-07-31,940.0
M548,1984-08-31,940.0
M548,1984-09-30,940.0
M548,1984-10-31,940.0
M548,1984-11-30,940.0
M548,1984-12-31,940.0
M548,1985-01-31,10822.125
M548,1985-02-28,10822.125
M548,1985-03-31,10822.125
M548,1985-04-30,10822.125
M548,1985-05-31,10822.125
M548,1985-06-30,10822.125
M548,1985-07-31,10822.125
M548,1985-08-31,940.0
M548,1985-09-30,940.0
M548,1985-10-31,10822.125
M548,1985-11-30,10822.125
M548,1985-12-31,10822.125
M548,1986-01-31,940.0
M548,1986-02-28,940.0
M548,1986-03-31,940.0
M548,1986-04-30,940.0
M548,1986-05-31,940.0
M548,1986-06-30,10822.125
M548,1986-07-31,10822.125
M548,1986-08-31,940.0
M548,1986-09-30,940.0
M548,1986-10-31,940.0
M548,1986-11-30,940.0
M548,1986-12-31,940.0
M548,1987-01-31,940.0
M548,1987-02-28,940.0
M548,1987-03-31,940.0
M548,1987-04-30,10822.125
M548,1987-05-31,10822.125
M548,1987-06-30,10822.125
M548,1987-07-31,940.0
M548,1987-08-31,940.0
M548,1987-09-30,940.0
M548,1987-10-31,10822.125
M548,1987-11-30,940.0
M548,1987-12-31,940.0
M548,1988-01-31,940.0
M548,1988-02-29,940.0
M548,1988-03-31,940.0
M548,1988-04-30,940.0
M548,1988-05-31,940.0
M548,1988-06-30,940.0
M548,1988-07-31,940.0
M548,1988-08-31,10822.125
M548,1988-09-30,10822.125
M548,1988-10-31,10822.125
M548,1988-11-30,10822.125
M548,1988-12-31,10822.125
M549,1983-01-31,940.0
M549,1983-02-28,940.0
M549,1983-03-31,940.0
M549,1983-04-30,940.0
M549,1983-05-31,10822.125
M549,1983-06-30,940.0
M549,1983-07-31,940.0
M549,1983-08-31,940.0
M549,1983-09-30,940.0
M549,1983-10-31,10822.125
M549,1983-11-30,10822.125
M549,1983-12-31,940.0
M549,1984-01-31,940.0
M549,1984-02-29,10822.125
M549,1984-03-31,10822.125
M549,1984-04-30,10822.125
M549,1984-05-31,10822.125
M549,1984-06-30,10822.125
M549,1984-07-31,10822.125
M549,1984-08-31,10822.125
M549,1984-09-30,10822.125
M549,1984-10-31,10822.125
M549,1984-11-30,940.0
M549,1984-12-31,940.0
M549,1985-01-31,940.0
M549,1985-02-28,940.0
M549,1985-03-31,940.0
M549,1985-04-30,940.0
M549,1985-05-31,940.0
M549,1985-06-30,940.0
M549,1985-07-31,10822.125
M549,1985-08-31,940.0
M549,1985-09-30,940.0
M549,1985-10-31,940.0
M549,1985-11-30,10822.125
M549,1985-12-31,10822.125
M549,1986-01-31,940.0
M549,1986-02-28,940.0
M549,1986-03-31,940.0
M549,1986-04-30,10822.125
M549,1986-05-31,10822.125
M549,1986-06-30,10822.125
M549,1986-07-31,10822.125
M549,1986-08-31,10822.125
M549,1986-09-30,10822.125
M549,1986-10-31,10822.125
M549,1986-11-30,10822.125
M549,1986-12-31,10822.125
M549,1987-01-31,10822.125
M549,1987-02-28,10822.125
M549,1987-03-31,10822.125
M549,1987-04-30,10822.125
M549,1987-05-31,10822.125
M549,1987-06-30,10822.125
M549,1987-07-31,10822.125
M549,1987-08-31,10822.125
M549,1987-09-30,10822.125
M549,1987-10-31,940.0
M549,1987-11-30,10822.125
M549,1987-12-31,10822.125
M549,1988-01-31,10822.125
M549,1988-02-29,10822.125
M549,1988-03-31,10822.125
M549,1988-04-30,10822.125
M549,1988-05-31,940.0
M549,1988-06-30,940.0
M549,1988-07-31,940.0
M549,1988-08-31,10822.125
M549,1988-09-30,10822.125
M549,1988-10-31,10822.125
M549,1988-11-30,940.0
M549,1988-12-31,940.0
M549,1989-01-31,10822.125
M549,1989-02-28,10822.125
M549,1989-03-31,10822.125
M549,1989-04-30,940.0
M549,1989-05-31,940.0
M549,1989-06-30,940.0
M549,1989-07-31,10822.125
M549,1989-08-31,940.0
M549,1989-09-30,940.0
M549,1989-10-31,940.0
M549,1989-11-30,940.0
M549,1989-12-31,940.0
M549,1990-01-31,10822.125
M549,1990-02-28,940.0
M549,1990-03-31,940.0
M549,1990-04-30,940.0
M549,1990-05-31,940.0
M549,1990-06-30,940.0
M549,1990-07-31,940.0
M549,1990-08-31,940.0
M549,1990-09-30,940.0
M549,1990-10-31,10822.125
M549,1990-11-30,10822.125
M549,1990-12-31,10822.125
M549,1991-01-31,10822.125
M549,1991-02-28,10822.125
M549,1991-03-31,10822.125
M549,1991-04-30,10822.125
M549,1991-05-31,10822.125
M549,1991-06-30,10822.125
M549,1991-07-31,940.0
M549,1991-08-31,940.0
M549,1991-09-30,940.0
M549,1991-10-31,10822.125
M549,1991-11-30,10822.125
M549,1991-12-31,10822.125
M549,1992-01-31,10822.125
M549,1992-02-29,10822.125
M549,1992-03-31,10822.125
M549,1992-04-30,10822.125
M549,1992-05-31,940.0
M549,1992-06-30,940.0
M549,1992-07-31,940.0
M549,1992-08-31,940.0
M549,1992-09-30,10822.125
M549,1992-10-31,10822.125
M549,1992-11-30,10822.125
M549,1992-12-31,940.0
M549,1993-01-31,940.0
M55,1990-01-31,940.0
M55,1990-02-28,940.0
M55,1990-03-31,10822.125
M55,1990-04-30,10822.125
M55,1990-05-31,940.0
M55,1990-06-30,940.0
M55,1990-07-31,940.0
M55,1990-08-31,10822.125
M55,1990-09-30,940.0
M55,1990-10-31,10822.125
M55,1990-11-30,10822.125
M55,1990-12-31,10822.125
M55,1991-01-31,940.0
M55,1991-02-28,10822.125
M55,1991-03-31,10822.125
M55,1991-04-30,10822.125
M55,1991-05-31,940.0
M55,1991-06-30,940.0
M55,1991-07-31,10822.125
M55,1991-08-31,940.0
M55,1991-09-30,940.0
M55,1991-10-31,940.0
M55,1991-11-30,940.0
M55,1991-12-31,10822.125
M55,1992-01-31,10822.125
M55,1992-02-29,10822.125
M55,1992-03-31,940.0
M55,1992-04-30,10822.125
M55,1992-05-31,940.0
M55,1992-06-30,10822.125
M55,1992-07-31,10822.125
M55,1992-08-31,10822.125
M55,1992-09-30,940.0
M55,1992-10-31,940.0
M55,1992-11-30,10822.125
M55,1992-12-31,10822.125
M55,1993-01-31,10822.125
M55,1993-02-28,940.0
M55,1993-03-31,10822.125
M55,1993-04-30,940.0
M55,1993-05-31,10822.125
M55,1993-06-30,10822.125
M55,1993-07-31,940.0
M55,1993-08-31,10822.125
M55,1993-09-30,940.0
M55,1993-10-31,10822.125
M55,1993-11-30,940.0
M55,1993-12-31,10822.125
M55,1994-01-31,940.0
M55,1994-02-28,940.0
M55,1994-03-31,10822.125
M55,1994-04-30,10822.125
M55,1994-05-31,940.0
M55,1994-06-30,940.0
M55,1994-07-31,940.0
M55,1994-08-31,10822.125
M55,1994-09-30,940.0
M550,1983-01-31,10822.125
M550,1983-02-28,940.0
M550,1983-03-31,940.0
M550,1983-04-30,940.0
M550,1983-05-31,10822.125
M550,1983-06-30,940.0
M550,1983-07-31,940.0
M550,1983-08-31,940.0
M550,1983-09-30,10822.125
M550,1983-10-31,10822.125
M550,1983-11-30,10822.125
M550,1983-12-31,940.0
M550,1984-01-31,940.0
M550,1984-02-29,940.0
M550,1984-03-31,940.0
M550,1984-04-30,940.0
M550,1984-05-31,940.0
M550,1984-06-30,940.0
M550,1984-07-31,940.0
M550,1984-08-31,940.0
M550,1984-09-30,10822.125
M550,1984-10-31,10822.125
M550,1984-11-30,940.0
M550,1984-12-31,940.0
M550,1985-01-31,940.0
M550,1985-02-28,10822.125
M550,1985-03-31,10822.125
M550,1985-04-30,10822.125
M550,1985-05-31,940.0
M550,1985-06-30,940.0
M550,1985-07-31,940.0
M550,1985-08-31,10822.125
M550,1985-09-30,10822.125
M550,1985-10-31,10822.125
M550,1985-11-30,10822.125
M550,1985-12-31,10822.125
M550,1986-01-31,10822.125
M550,1986-02-28,10822.125
M550,1986-03-31,940.0
M550,1986-04-30,940.0
M550,1986-05-31,940.0
M550,1986-06-30,10822.125
M550,1986-07-31,10822.125
M550,1986-08-31,10822.125
M550,1986-09-30,940.0
M550,1986-10-31,10822.125
M550,1986-11-30,10822.125
M550,1986-12-31,940.0
M550,1987-01-31,940.0
M550,1987-02-28,940.0
M550,1987-03-31,940.0
M550,1987-04-30,940.0
M550,1987-05-31,940.0
M550,1987-06-30,10822.125
M550,1987-07-31,10822.125
M550,1987-08-31,940.0
M550,1987-09-30,940.0
M550,1987-10-31,940.0
M550,1987-11-30,940.0
M550,1987-12-31,10822.125
M550,1988-01-31,940.0
M550,1988-02-29,940.0
M550,1988-03-31,940.0
M550,1988-04-30,940.0
M550,1988-05-31,940.0
M550,1988-06-30,940.0
M550,1988-07-31,940.0
M550,1988-08-31,10822.125
M550,1988-09-30,10822.125
M550,1988-10-31,940.0
M550,1988-11-30,10822.125
M550,1988-12-31,10822.125
M550,1989-01-31,10822.125
M550,1989-02-28,10822.125
M550,1989-03-31,940.0
M550,1989-04-30,940.0
M550,1989-05-31,10822.125
M550,1989-06-30,10822.125
M550,1989-07-31,10822.125
M550,1989-08-31,10822.125
M550,1989-09-30,10822.125
M550,1989-10-31,10822.125
M550,1989-11-30,10822.125
M550,1989-12-31,940.0
M550,1990-01-31,940.0
M550,1990-02-28,940.0
M550,1990-03-31,10822.125
M550,1990-04-30,10822.125
M550,1990-05-31,10822.125
M550,1990-06-30,940.0
M550,1990-07-31,940.0
M550,1990-08-31,940.0
M550,1990-09-30,940.0
M550,1990-10-31,10822.125
M550,1990-11-30,940.0
M550,1990-12-31,940.0
M550,1991-01-31,940.0
M550,1991-02-28,940.0
M550,1991-03-31,10822.125
M550,1991-04-30,10822.125
M550,1991-05-31,940.0
M550,1991-06-30,940.0
M550,1991-07-31,940.0
M550,1991-08-31,10822.125
M550,1991-09-30,10822.125
M550,1991-10-31,940.0
M550,1991-11-30,940.0
M550,1991-12-31,940.0
M550,1992-01-31,940.0
M550,1992-02-29,10822.125
M550,1992-03-31,10822.125
M550,1992-04-30,10822.125
M550,1992-05-31,10822.125
M550,1992-06-30,10822.125
M550,1992-07-31,10822.125
M550,1992-08-31,10822.125
M550,1992-09-30,10822.125
M550,1992-10-31,10822.125
M550,1992-11-30,10822.125
M550,1992-12-31,10822.125
M550,1993-01-31,10822.125
M551,1983-01-31,10822.125
M551,1983-02-28,940.0
M551,1983-03-31,940.0
M551,1983-04-30,940.0
M551,1983-05-31,940.0
M551,1983-06-30,940.0
M551,1983-07-31,940.0
M551,1983-08-31,940.0
M551,1983-09-30,940.0
M551,1983-10-31,940.0
M551,1983-11-30,940.0
M551,1983-12-31,10822.125
M551,1984-01-31,10822.125
M551,1984-02-29,10822.125
M551,1984-03-31,940.0
M551,1984-04-30,940.0
M551,1984-05-31,10822.125
M551,1984-06-30,940.0
M551,1984-07-31,940.0
M551,1984-08-31,940.0
M551,1984-09-30,940.0
M551,1984-10-31,10822.125
M551,1984-11-30,10822.125
M551,1984-12-31,940.0
M551,1985-01-31,940.0
M551,1985-02-28,10822.125
M551,1985-03-31,10822.125
M551,1985-04-30,10822.125
M551,1985-05-31,940.0
M551,1985-06-30,940.0
M551,1985-07-31,940.0
M551,1985-08-31,10822.125
M551,1985-09-30,10822.125
M551,1985-10-31,10822.125
M551,1985-11-30,10822.125
M551,1985-12-31,10822.125
M551,1986-01-31,940.0
M551,1986-02-28,940.0
M551,1986-03-31,10822.125
M551,1986-04-30,10822.125
M551,1986-05-31,10822.125
M551,1986-06-30,10822.125
M551,1986-07-31,940.0
M551,1986-08-31,940.0
M551,1986-09-30,940.0
M551,1986-10-31,10822.125
M551,1986-11-30,10822.125
M551,1986-12-31,10822.125
M551,1987-01-31,940.0
M551,1987-02-28,940.0
M551,1987-03-31,940.0
M551,1987-04-30,940.0
M551,1987-05-31,10822.125
M551,1987-06-30,10822.125
M551,1987-07-31,10822.125
M551,1987-08-31,940.0
M551,1987-09-30,940.0
M551,1987-10-31,940.0
M551,1987-11-30,10822.125
M551,1987-12-31,10822.125
M551,1988-01-31,10822.125
M551,1988-02-29,10822.125
M551,1988-03-31,10822.125
M551,1988-04-30,10822.125
M551,1988-05-31,10822.125
M551,1988-06-30,940.0
M551,1988-07-31,940.0
M551,1988-08-31,940.0
M551,1988-09-30,10822.125
M551,1988-10-31,10822.125
M551,1988-11-30,940.0
M551,1988-12-31,940.0
M551,1989-01-31,940.0
M551,1989-02-28,10822.125
M551,1989-03-31,10822.125
M551,1989-04-30,940.0
M551,1989-05-31,940.0
M551,1989-06-30,940.0
M551,1989-07-31,940.0
M551,1989-08-31,10822.125
M551,1989-09-30,940.0
M551,1989-10-31,940.0
M551,1989-11-30,940.0
M551,1989-12-31,10822.125
M551,1990-01-31,10822.125
M551,1990-02-28,10822.125
M551,1990-03-31,10822.125
M551,1990-04-30,10822.125
M551,1990-05-31,940.0
M551,1990-06-30,940.0
M551,1990-07-31,940.0
M551,1990-08-31,940.0
M551,1990-09-30,940.0
M551,1990-10-31,10822.125
M551,1990-11-30,940.0
M551,1990-12-31,940.0
M551,1991-01-31,10822.125
M551,1991-02-28,10822.125
M551,1991-03-31,10822.125
M551,1991-04-30,940.0
M551,1991-05-31,940.0
M551,1991-06-30,10822.125
M551,1991-07-31,10822.125
M551,1991-08-31,10822.125
M551,1991-09-30,10822.125
M551,1991-10-31,940.0
M551,1991-11-30,940.0
M551,1991-12-31,10822.125
M551,1992-01-31,10822.125
M551,1992-02-29,940.0
M551,1992-03-31,940.0
M551,1992-04-30,940.0
M551,1992-05-31,10822.125
M551,1992-06-30,10822.125
M551,1992-07-31,10822.125
M551,1992-08-31,940.0
M551,1992-09-30,940.0
M551,1992-10-31,10822.125
M551,1992-11-30,10822.125
M551,1992-12-31,10822.125
M551,1993-01-31,10822.125
M552,1979-01-31,940.0
M552,1979-02-28,940.0
M552,1979-03-31,940.0
M552,1979-04-30,940.0
M552,1979-05-31,940.0
M552,1979-06-30,940.0
M552,1979-07-31,940.0
M552,1979-08-31,10822.125
M552,1979-09-30,10822.125
M552,1979-10-31,940.0
M552,1979-11-30,940.0
M552,1979-12-31,940.0
M552,1980-01-31,940.0
M552,1980-02-29,940.0
M552,1980-03-31,940.0
M552,1980-04-30,940.0
M552,1980-05-31,940.0
M552,1980-06-30,10822.125
M552,1980-07-31,10822.125
M552,1980-08-31,10822.125
M552,1980-09-30,10822.125
M552,1980-10-31,10822.125
M552,1980-11-30,10822.125
M552,1980-12-31,10822.125
M552,1981-01-31,10822.125
M552,1981-02-28,10822.125
M552,1981-03-31,10822.125
M552,1981-04-30,10822.125
M552,1981-05-31,940.0
M552,1981-06-30,940.0
M552,1981-07-31,940.0
M552,1981-08-31,940.0
M552,1981-09-30,940.0
M552,1981-10-31,940.0
M552,1981-11-30,10822.125
M552,1981-12-31,10822.125
M552,1982-01-31,940.0
M552,1982-02-28,940.0
M552,1982-03-31,940.0
M552,1982-04-30,10822.125
M552,1982-05-31,10822.125
M552,1982-06-30,10822.125
M552,1982-07-31,940.0
M552,1982-08-31,940.0
M552,1982-09-30,10822.125
M552,1982-10-31,10822.125
M552,1982-11-30,940.0
M552,1982-12-31,940.0
M552,1983-01-31,940.0
M552,1983-02-28,10822.125
M552,1983-03-31,940.0
M552,1983-04-30,940.0
M552,1983-05-31,940.0
M552,1983-06-30,940.0
M552,1983-07-31,10822.125
M552,1983-08-31,940.0
M552,1983-09-30,940.0
M552,1983-10-31,10822.125
M552,1983-11-30,10822.125
M552,1983-12-31,10822.125
M552,1984-01-31,940.0
M552,1984-02-29,940.0
M552,1984-03-31,940.0
M552,1984-04-30,940.0
M552,1984-05-31,940.0
M552,1984-06-30,940.0
M552,1984-07-31,10822.125
M552,1984-08-31,10822.125
M552,1984-09-30,10822.125
M552,1984-10-31,940.0
M552,1984-11-30,940.0
M552,1984-12-31,940.0
M552,1985-01-31,10822.125
M552,1985-02-28,940.0
M552,1985-03-31,940.0
M552,1985-04-30,940.0
M552,1985-05-31,10822.125
M552,1985-06-30,10822.125
M552,1985-07-31,10822.125
M552,1985-08-31,940.0
M552,1985-09-30,940.0
M552,1985-10-31,940.0
M552,1985-11-30,940.0
M552,1985-12-31,940.0
M552,1986-01-31,10822.125
M552,1986-02-28,10822.125
M552,1986-03-31,10822.125
M552,1986-04-30,940.0
M552,1986-05-31,940.0
M552,1986-06-30,10822.125
M552,1986-07-31,10822.125
M552,1986-08-31,10822.125
M552,1986-09-30,10822.125
M552,1986-10-31,940.0
M552,1986-11-30,10822.125
M552,1986-12-31,10822.125
M552,1987-01-31,10822.125
M552,1987-02-28,940.0
M552,1987-03-31,940.0
M552,1987-04-30,940.0
M552,1987-05-31,940.0
M552,1987-06-30,940.0
M552,1987-07-31,940.0
M552,1987-08-31,10822.125
M552,1987-09-30,10822.125
M552,1987-10-31,10822.125
M552,1987-11-30,940.0
M552,1987-12-31,940.0
M552,1988-01-31,940.0
M552,1988-02-29,940.0
M552,1988-03-31,940.0
M552,1988-04-30,940.0
M552,1988-05-31,940.0
M552,1988-06-30,10822.125
M552,1988-07-31,10822.125
M552,1988-08-31,10822.125
M552,1988-09-30,10822.125
M552,1988-10-31,10822.125
M552,1988-11-30,10822.125
M552,1988-12-31,10822.125
M552,1989-01-31,940.0
M552,1989-02-28,940.0
M552,1989-03-31,10822.125
M552,1989-04-30,10822.125
M552,1989-05-31,10822.125
M552,1989-06-30,940.0
M552,1989-07-31,940.0
M552,1989-08-31,940.0
M553,1982-01-31,10822.125
M553,1982-02-28,10822.125
M553,1982-03-31,940.0
M553,1982-04-30,940.0
M553,1982-05-31,10822.125
M553,1982-06-30,10822.125
M553,1982-07-31,10822.125
M553,1982-08-31,940.0
M553,1982-09-30,10822.125
M553,1982-10-31,10822.125
M553,1982-11-30,10822.125
M553,1982-12-31,940.0
M553,1983-01-31,940.0
M553,1983-02-28,10822.125
M553,1983-03-31,10822.125
M553,1983-04-30,10822.125
M553,1983-05-31,940.0
M553,1983-06-30,10822.125
M553,1983-07-31,10822.125
M553,1983-08-31,10822.125
M553,1983-09-30,10822.125
M553,1983-10-31,940.0
M553,1983-11-30,940.0
M553,1983-12-31,10822.125
M553,1984-01-31,10822.125
M553,1984-02-29,10822.125
M553,1984-03-31,10822.125
M553,1984-04-30,10822.125
M553,1984-05-31,10822.125
M553,1984-06-30,10822.125
M553,1984-07-31,10822.125
M553,1984-08-31,940.0
M553,1984-09-30,940.0
M553,1984-10-31,10822.125
M553,1984-11-30,10822.125
M553,1984-12-31,10822.125
M553,1985-01-31,10822.125
M553,1985-02-28,940.0
M553,1985-03-31,940.0
M553,1985-04-30,10822.125
M553,1985-05-31,10822.125
M553,1985-06-30,940.0
M553,1985-07-31,940.0
M553,1985-08-31,940.0
M553,1985-09-30,10822.125
M553,1985-10-31,10822.125
M553,1985-11-30,10822.125
M553,1985-12-31,940.0
M553,1986-01-31,940.0
M553,1986-02-28,940.0
M553,1986-03-31,940.0
M553,1986-04-30,10822.125
M553,1986-05-31,940.0
M553,1986-06-30,940.0
M553,1986-07-31,9624.487575686064
M553,1986-08-31,10822.125
M553,1986-09-30,940.0
M553,1986-10-31,940.0
M553,1986-11-30,10822.125
M553,1986-12-31,10822.125
M553,1987-01-31,940.0
M553,1987-02-28,940.0
M553,1987-03-31,940.0
M553,1987-04-30,940.0
M553,1987-05-31,10822.125
M553,1987-06-30,10822.125
M553,1987-07-31,940.0
M553,1987-08-31,940.0
M553,1987-09-30,10822.125
M553,1987-10-31,10822.125
M553,1987-11-30,940.0
